,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-10,1.26,10.98
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2011-10,3.02,16.14
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2012-10,2.93,17.59
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2013-10,2.96,10.58
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2014-10,2.16,7.29
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2015-10,0.9,6.55
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2016-10,2.02,8.58
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2017-10,2.04,11.09
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2018-10,2.46,5.28
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10,2.86,15.54
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,15.54
