,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,12.69
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2010-12,-0.47,12.25
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2011-12,2.68,10.85
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2012-12,-0.07,14.44
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2013-12,2.02,9.56
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2014-12,0.01,5.7
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2015-12,1.72,7.84
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2016-12,4.71,7.71
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2017-12,1.81,15.07
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2018-12,3.83,9.74
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,8.47
