,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,17.95
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2010-12,5.35,25.65
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2011-12,5.28,31.78
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2012-12,5.59,26.48
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2013-12,4.91,18.87
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2014-12,6.51,17.35
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2015-12,6.26,14.02
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2016-12,4.08,12.97
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2017-12,3.49,12.57
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2018-12,10.07,10.31
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,8.78
