,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-12,1.47,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2011-12,1.28,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2012-12,0.99,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2013-12,1.62,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2014-12,1.76,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2015-12,1.92,0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,2016-12,1.73,0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,2017-12,2.07,0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,2018-12,2.7,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-12,2.38,0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,0
