,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,19.6
1,1,1,1,1,1,1,1,1,1,1,1,1,2010-12,1.47,15.77
2,2,2,2,2,2,2,2,2,2,2,2,2,2011-12,1.19,17.66
3,3,3,3,3,3,3,3,3,3,3,3,3,2012-12,1.08,12.26
4,4,4,4,4,4,4,4,4,4,4,4,4,2013-12,1.24,11.25
5,5,5,5,5,5,5,5,5,5,5,5,5,2014-12,1.32,11.01
6,6,6,6,6,6,6,6,6,6,6,6,6,2015-12,1.21,9.09
7,7,7,7,7,7,7,7,7,7,7,7,7,2016-12,1.64,9.66
8,8,8,8,8,8,8,8,8,8,8,8,8,2017-12,1.14,11.12
9,9,9,9,9,9,9,9,9,9,9,9,9,2018-12,0.9,10.32
10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.52
