,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,2010-09,3.22,16.64
1,1,1,1,1,1,1,1,1,1,1,1,1,2011-09,3.6,17.69
2,2,2,2,2,2,2,2,2,2,2,2,2,2012-09,3.62,20.07
3,3,3,3,3,3,3,3,3,3,3,3,3,2013-09,4.85,12.55
4,4,4,4,4,4,4,4,4,4,4,4,4,2014-09,1.44,8.51
5,5,5,5,5,5,5,5,5,5,5,5,5,2015-09,15.06,-1.87
6,6,6,6,6,6,6,6,6,6,6,6,6,2016-09,11.69,27.31
7,7,7,7,7,7,7,7,7,7,7,7,7,2017-09,4.27,7.63
8,8,8,8,8,8,8,8,8,8,8,8,8,2018-09,8.06,28.02
9,9,9,9,9,9,9,9,9,9,9,9,9,2019-09,9.49,13.92
10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,10.68
