,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,3.65
1,1,1,1,1,1,1,1,1,1,1,1,1,2010-12,-0.61,5.37
2,2,2,2,2,2,2,2,2,2,2,2,2,2011-12,1.39,8.11
3,3,3,3,3,3,3,3,3,3,3,3,3,2012-12,-3.03,8.75
4,4,4,4,4,4,4,4,4,4,4,4,4,2013-12,-1.85,9.64
5,5,5,5,5,5,5,5,5,5,5,5,5,2014-12,1.99,8.53
6,6,6,6,6,6,6,6,6,6,6,6,6,2015-12,0.41,11.43
7,7,7,7,7,7,7,7,7,7,7,7,7,2016-12,1.67,11.52
8,8,8,8,8,8,8,8,8,8,8,8,8,2017-12,8.43,10.13
9,9,9,9,9,9,9,9,9,9,9,9,9,2018-12,2.63,11.26
10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,11.45
