,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,0,2010-10,2.32,7.7
1,1,1,1,1,1,1,1,1,1,1,1,1,2011-10,2.55,7.98
2,2,2,2,2,2,2,2,2,2,2,2,2,2012-10,2.23,6.42
3,3,3,3,3,3,3,3,3,3,3,3,3,2013-10,2.25,7.07
4,4,4,4,4,4,4,4,4,4,4,4,4,2014-10,1.2,6.51
5,5,5,5,5,5,5,5,5,5,5,5,5,2015-10,2.35,6.84
6,6,6,6,6,6,6,6,6,6,6,6,6,2016-10,1.47,5.27
7,7,7,7,7,7,7,7,7,7,7,7,7,2017-10,-0.44,1.1
8,8,8,8,8,8,8,8,8,8,8,8,8,2018-10,2.06,5.55
9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10,2.54,7.1
10,10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,7.1
