,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,17.74
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,4.96,12.38
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,5.36,12.65
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,4.72,14.82
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,1.25,6.74
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,1.93,7.64
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,1.47,15.01
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,1.22,4.53
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,2.37,1.86
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,2.78,5.42
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,7.23
