,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-06,0.0,-3.23
1,1,1,1,1,1,1,1,1,1,1,1,2011-06,0.0,-21.77
2,2,2,2,2,2,2,2,2,2,2,2,2012-06,0.0,-27.03
3,3,3,3,3,3,3,3,3,3,3,3,2013-06,0.0,-45.56
4,4,4,4,4,4,4,4,4,4,4,4,2014-06,0.0,-20.11
5,5,5,5,5,5,5,5,5,5,5,5,2015-06,-0.11,-114.65
6,6,6,6,6,6,6,6,6,6,6,6,2016-06,-0.04,-36.23
7,7,7,7,7,7,7,7,7,7,7,7,2017-06,-0.1,-8.45
8,8,8,8,8,8,8,8,8,8,8,8,2018-06,-0.26,7.02
9,9,9,9,9,9,9,9,9,9,9,9,2019-06,-0.46,-7.57
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-30.58
