,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,1.33
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,-2.23,3.22
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,-2.44,4.0
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,1.99,2.86
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,1.74,3.46
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,1.79,2.67
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,1.33,3.49
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,1.99,3.01
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,1.68,2.2
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,1.92,3.2
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,3.09
