,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.74,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,0.58,0.0
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,-0.39,14.96
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,1.35,7.39
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,0.93,7.79
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,1.28,7.96
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,1.79,9.24
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,1.3,10.36
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,1.25,7.79
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.92
