,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-09,0.78,9.63
1,1,1,1,1,1,1,1,1,1,1,1,2011-09,0.46,9.37
2,2,2,2,2,2,2,2,2,2,2,2,2012-09,3.42,-0.87
3,3,3,3,3,3,3,3,3,3,3,3,2013-09,4.07,8.44
4,4,4,4,4,4,4,4,4,4,4,4,2014-09,2.85,8.14
5,5,5,5,5,5,5,5,5,5,5,5,2015-09,4.33,0.45
6,6,6,6,6,6,6,6,6,6,6,6,2016-09,3.92,3.56
7,7,7,7,7,7,7,7,7,7,7,7,2017-09,4.38,7.39
8,8,8,8,8,8,8,8,8,8,8,8,2018-09,2.37,4.26
9,9,9,9,9,9,9,9,9,9,9,9,2019-09,2.59,-0.48
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-1.34
