,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2010-08,3.72,61.83
1,1,1,1,1,1,1,1,1,1,1,2011-08,4.09,67.23
2,2,2,2,2,2,2,2,2,2,2,2012-08,5.34,63.11
3,3,3,3,3,3,3,3,3,3,3,2013-08,4.69,71.54
4,4,4,4,4,4,4,4,4,4,4,2014-08,4.0,54.58
5,5,5,5,5,5,5,5,5,5,5,2015-08,5.7,50.99
6,6,6,6,6,6,6,6,6,6,6,2016-08,5.28,59.68
7,7,7,7,7,7,7,7,7,7,7,2017-08,6.83,41.4
8,8,8,8,8,8,8,8,8,8,8,2018-08,7.96,41.66
9,9,9,9,9,9,9,9,9,9,9,2019-08,9.34,38.1
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,30.76
