,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,7.97
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,-1.38,7.61
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,-1.44,4.21
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,1.9,6.24
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,2.24,4.89
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,2.32,3.61
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,2.57,5.8
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,2.05,4.87
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,2.67,4.63
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,3.05,3.42
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,2.91
