,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-06,0.0,8.64
1,1,1,1,1,1,1,1,1,1,1,1,2010-06,0.0,10.23
2,2,2,2,2,2,2,2,2,2,2,2,2011-06,0.0,8.84
3,3,3,3,3,3,3,3,3,3,3,3,2012-06,0.0,5.07
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,0.01,5.59
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,5.95,9.27
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,0.83,8.32
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,2.7,5.94
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,2.39,7.29
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,1.54,7.48
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,5.01
