,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,9.74
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,14.97,8.93
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,15.87,8.58
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,15.87,13.38
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,14.06,11.81
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,15.94,6.51
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,19.66,6.04
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,30.02,5.02
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,40.49,7.76
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,48.3,9.18
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,7.34
