,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-04,0.0,-54.51
1,1,1,1,1,1,1,1,1,1,1,1,2011-06,-0.01,-95.7
2,2,2,2,2,2,2,2,2,2,2,2,2012-06,-0.01,-224.33
3,3,3,3,3,3,3,3,3,3,3,3,2013-06,-0.02,-116.03
4,4,4,4,4,4,4,4,4,4,4,4,2014-06,-0.01,-39.41
5,5,5,5,5,5,5,5,5,5,5,5,2015-06,-0.01,-63.08
6,6,6,6,6,6,6,6,6,6,6,6,2016-06,-0.01,-78.57
7,7,7,7,7,7,7,7,7,7,7,7,2017-06,-0.01,0.0
8,8,8,8,8,8,8,8,8,8,8,8,2018-06,-0.01,-136.89
9,9,9,9,9,9,9,9,9,9,9,9,2019-06,0.0,0.0
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,0.0
