,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,6.03
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,3.02,2.93
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,3.19,5.28
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,1.48,-4.94
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,0.83,3.9
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,-0.83,5.8
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,-0.03,5.85
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,-0.45,5.9
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,0.16,4.83
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,-0.8,6.82
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.43
