,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,2.6
1,1,1,1,1,1,1,1,1,1,1,2010-12,-0.17,9.3
2,2,2,2,2,2,2,2,2,2,2,2011-12,0.8,-12.41
3,3,3,3,3,3,3,3,3,3,3,2012-12,1.46,8.27
4,4,4,4,4,4,4,4,4,4,4,2013-12,-1.09,-8.78
5,5,5,5,5,5,5,5,5,5,5,2014-12,0.89,2.91
6,6,6,6,6,6,6,6,6,6,6,2015-12,0.88,1.48
7,7,7,7,7,7,7,7,7,7,7,2016-12,1.42,3.89
8,8,8,8,8,8,8,8,8,8,8,2017-12,-0.1,4.99
9,9,9,9,9,9,9,9,9,9,9,2018-12,-1.75,-4.18
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-2.65
