,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-01,0.0,10.93
1,1,1,1,1,1,1,1,1,1,1,1,2011-01,1.47,9.6
2,2,2,2,2,2,2,2,2,2,2,2,2012-01,0.53,10.96
3,3,3,3,3,3,3,3,3,3,3,3,2013-01,1.96,17.6
4,4,4,4,4,4,4,4,4,4,4,4,2014-01,0.49,6.95
5,5,5,5,5,5,5,5,5,5,5,5,2015-01,0.07,6.97
6,6,6,6,6,6,6,6,6,6,6,6,2016-01,1.09,19.91
7,7,7,7,7,7,7,7,7,7,7,7,2017-01,1.17,18.83
8,8,8,8,8,8,8,8,8,8,8,8,2018-01,0.89,16.66
9,9,9,9,9,9,9,9,9,9,9,9,2019-01,1.5,20.67
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,8.98
