,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,6.85
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.47,5.88
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,3.35,7.83
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,1.39,5.75
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,0.68,5.96
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,1.22,6.08
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,0.47,6.97
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,-0.94,2.9
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,-2.07,6.19
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,-3.21,6.65
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.74
