,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,4.47
1,1,1,1,1,1,1,1,1,1,2010-12,-13.11,5.64
2,2,2,2,2,2,2,2,2,2,2011-12,-2.34,5.12
3,3,3,3,3,3,3,3,3,3,2012-12,-3.27,5.3
4,4,4,4,4,4,4,4,4,4,2013-12,-12.56,5.96
5,5,5,5,5,5,5,5,5,5,2014-12,-1.6,6.28
6,6,6,6,6,6,6,6,6,6,2015-12,-1.67,5.56
7,7,7,7,7,7,7,7,7,7,2016-12,0.48,5.03
8,8,8,8,8,8,8,8,8,8,2017-12,-7.42,5.38
9,9,9,9,9,9,9,9,9,9,2018-12,-19.23,5.31
10,10,10,10,10,10,10,10,10,10,TTM,0.0,5.68
