,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,6.59
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,1.56,3.13
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,1.0,3.33
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,0.88,-0.43
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,1.11,3.6
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,-0.21,6.24
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,-0.33,3.48
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,0.63,-2.33
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,0.35,-2.65
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,0.43,7.51
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,4.14
