,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-06,0.0,0.34
1,1,1,1,1,1,1,1,1,1,1,1,2010-06,0.58,2.12
2,2,2,2,2,2,2,2,2,2,2,2,2011-06,1.18,5.59
3,3,3,3,3,3,3,3,3,3,3,3,2012-06,-0.39,-2.26
4,4,4,4,4,4,4,4,4,4,4,4,2013-06,1.81,0.87
5,5,5,5,5,5,5,5,5,5,5,5,2014-06,-2.56,1.36
6,6,6,6,6,6,6,6,6,6,6,6,2015-06,1.03,-4.91
7,7,7,7,7,7,7,7,7,7,7,7,2016-06,1.79,-1.15
8,8,8,8,8,8,8,8,8,8,8,8,2017-06,0.55,0.74
9,9,9,9,9,9,9,9,9,9,9,9,2018-06,0.02,-0.03
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-1.75
