,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2007-12,0.0,0
1,1,1,1,1,1,1,1,1,1,1,2008-12,0.0,0
2,2,2,2,2,2,2,2,2,2,2,2009-12,0.0,0
3,3,3,3,3,3,3,3,3,3,3,2010-12,0.0,0
4,4,4,4,4,4,4,4,4,4,4,2011-12,-0.15,0
5,5,5,5,5,5,5,5,5,5,5,2012-12,-0.32,0
6,6,6,6,6,6,6,6,6,6,6,2013-12,-0.53,0
7,7,7,7,7,7,7,7,7,7,7,2014-12,-0.4,0
8,8,8,8,8,8,8,8,8,8,8,2015-12,-0.27,0
9,9,9,9,9,9,9,9,9,9,9,2016-12,-0.23,0
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,0
