,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0
1,1,1,1,1,1,1,1,1,1,2010-12,7.39,0
2,2,2,2,2,2,2,2,2,2,2011-12,10.2,0
3,3,3,3,3,3,3,3,3,3,2012-12,15.93,0
4,4,4,4,4,4,4,4,4,4,2013-12,11.37,0
5,5,5,5,5,5,5,5,5,5,2014-12,8.69,0
6,6,6,6,6,6,6,6,6,6,2015-12,7.68,0
7,7,7,7,7,7,7,7,7,7,2016-12,7.32,0
8,8,8,8,8,8,8,8,8,8,2017-12,8.03,0
9,9,9,9,9,9,9,9,9,9,2018-12,7.93,0
10,10,10,10,10,10,10,10,10,10,TTM,0.0,0
