,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,4.36
1,1,1,1,1,1,1,1,1,1,1,2010-12,0.24,16.44
2,2,2,2,2,2,2,2,2,2,2,2011-12,0.49,33.46
3,3,3,3,3,3,3,3,3,3,3,2012-12,-0.35,17.49
4,4,4,4,4,4,4,4,4,4,4,2013-12,-0.45,-5.61
5,5,5,5,5,5,5,5,5,5,5,2014-12,-0.33,-9.1
6,6,6,6,6,6,6,6,6,6,6,2015-12,0.08,-17.36
7,7,7,7,7,7,7,7,7,7,7,2016-12,0.18,1.7
8,8,8,8,8,8,8,8,8,8,8,2017-12,0.05,-8.05
9,9,9,9,9,9,9,9,9,9,9,2018-12,-0.37,-28.91
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-18.41
