,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,22.07
1,1,1,1,1,1,1,1,1,1,2010-12,-0.1,16.59
2,2,2,2,2,2,2,2,2,2,2011-12,0.17,11.94
3,3,3,3,3,3,3,3,3,3,2012-12,1.05,19.45
4,4,4,4,4,4,4,4,4,4,2013-12,0.66,5.04
5,5,5,5,5,5,5,5,5,5,2014-12,-0.2,-0.4
6,6,6,6,6,6,6,6,6,6,2015-12,-0.05,-30.99
7,7,7,7,7,7,7,7,7,7,2016-12,-0.11,-0.09
8,8,8,8,8,8,8,8,8,8,2017-12,-0.05,1.32
9,9,9,9,9,9,9,9,9,9,2018-12,0.04,-2.66
10,10,10,10,10,10,10,10,10,10,TTM,0.0,-0.44
