,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,6.42
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,4.05,5.78
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,4.18,6.89
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,4.07,2.31
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,4.58,-4.14
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,8.76,-3.99
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,9.67,5.62
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,6.71,14.13
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,8.22,-3.73
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,17.05,-4.79
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-9.78
