,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,6.11
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.0,4.18
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,0.0,5.65
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,0.0,5.49
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,0.0,5.6
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,0.0,5.41
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,-0.27,4.36
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,0.56,3.98
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,-2.28,2.66
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,-0.41,3.9
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,3.83
