,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,1.56
1,1,1,1,1,1,1,1,1,1,1,2010-12,0.0,-2.5
2,2,2,2,2,2,2,2,2,2,2,2011-12,-0.13,7.75
3,3,3,3,3,3,3,3,3,3,3,2012-12,-1.25,1.35
4,4,4,4,4,4,4,4,4,4,4,2013-12,-0.33,0.38
5,5,5,5,5,5,5,5,5,5,5,2014-12,-0.71,2.29
6,6,6,6,6,6,6,6,6,6,6,2015-12,-0.03,3.78
7,7,7,7,7,7,7,7,7,7,7,2016-12,0.5,2.25
8,8,8,8,8,8,8,8,8,8,8,2017-12,1.07,2.69
9,9,9,9,9,9,9,9,9,9,9,2018-12,0.24,1.02
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,1.31
