,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2010-01,0.0,8.26
1,1,1,1,1,1,1,1,1,1,1,2011-01,1.38,8.32
2,2,2,2,2,2,2,2,2,2,2,2012-01,5.58,9.32
3,3,3,3,3,3,3,3,3,3,3,2013-01,4.41,20.94
4,4,4,4,4,4,4,4,4,4,4,2014-01,0.99,28.95
5,5,5,5,5,5,5,5,5,5,5,2015-01,10.58,17.82
6,6,6,6,6,6,6,6,6,6,6,2016-01,-2.91,17.99
7,7,7,7,7,7,7,7,7,7,7,2017-01,12.68,27.57
8,8,8,8,8,8,8,8,8,8,8,2018-01,2.94,22.17
9,9,9,9,9,9,9,9,9,9,9,2019-01,-10.02,13.83
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-10.05
