,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,-2.01
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,2.18,5.5
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,2.3,5.69
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,-0.09,5.1
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,1.52,3.18
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,0.0,5.91
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,0.84,8.18
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,0.84,7.04
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,-1.13,4.17
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,0.55,8.66
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,10.89
