,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-05,3.32,5.4
1,1,1,1,1,1,1,1,1,1,1,1,2011-05,-0.37,7.33
2,2,2,2,2,2,2,2,2,2,2,2,2012-05,0.07,6.42
3,3,3,3,3,3,3,3,3,3,3,3,2013-05,2.67,4.88
4,4,4,4,4,4,4,4,4,4,4,4,2014-05,2.87,6.1
5,5,5,5,5,5,5,5,5,5,5,5,2015-05,1.1,2.06
6,6,6,6,6,6,6,6,6,6,6,6,2016-05,-4.62,5.1
7,7,7,7,7,7,7,7,7,7,7,7,2017-05,-0.2,5.71
8,8,8,8,8,8,8,8,8,8,8,8,2018-05,0.99,2.07
9,9,9,9,9,9,9,9,9,9,9,9,2019-05,1.14,1.4
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,0.95
