,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-06,4.13,12.13
1,1,1,1,1,1,1,1,1,1,1,1,2011-06,1.3,16.46
2,2,2,2,2,2,2,2,2,2,2,2,2012-06,1.22,16.66
3,3,3,3,3,3,3,3,3,3,3,3,2013-06,1.88,16.52
4,4,4,4,4,4,4,4,4,4,4,4,2014-06,1.83,11.89
5,5,5,5,5,5,5,5,5,5,5,5,2015-06,1.93,11.87
6,6,6,6,6,6,6,6,6,6,6,6,2016-06,4.84,3.4
7,7,7,7,7,7,7,7,7,7,7,7,2017-06,3.37,13.92
8,8,8,8,8,8,8,8,8,8,8,8,2018-06,2.82,11.21
9,9,9,9,9,9,9,9,9,9,9,9,2019-06,4.07,9.56
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,7.07
