,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,4.87
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.7,2.4
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,0.12,3.24
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,0.36,5.57
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,-0.24,6.42
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,-0.29,8.4
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,-0.14,6.69
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,0.19,9.75
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,0.21,7.49
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,0.38,14.1
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,7.89
