,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-12,1.96,13.03
1,1,1,1,1,1,1,1,1,1,1,1,2011-12,1.49,14.55
2,2,2,2,2,2,2,2,2,2,2,2,2012-12,2.38,10.21
3,3,3,3,3,3,3,3,3,3,3,3,2013-12,2.78,10.49
4,4,4,4,4,4,4,4,4,4,4,4,2014-12,1.51,7.88
5,5,5,5,5,5,5,5,5,5,5,5,2015-12,2.21,7.14
6,6,6,6,6,6,6,6,6,6,6,6,2016-12,3.08,7.66
7,7,7,7,7,7,7,7,7,7,7,7,2017-12,2.98,7.86
8,8,8,8,8,8,8,8,8,8,8,8,2018-12,3.45,9.57
9,9,9,9,9,9,9,9,9,9,9,9,2019-12,4.7,8.79
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,8.79
