,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-11,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2010-11,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2011-11,0.0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,2012-11,0.0,0.0
4,4,4,4,4,4,4,4,4,4,4,4,2013-11,0.0,0.0
5,5,5,5,5,5,5,5,5,5,5,5,2014-11,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,2015-11,0.0,0.0
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,0.46,5.34
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,1.26,1.02
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,3.25,17.24
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,13.35
