,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,20.96
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.5,23.97
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,-0.01,20.33
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,0.69,11.34
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,0.24,8.02
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,0.34,5.98
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,1.39,7.14
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,0.82,7.28
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,1.08,9.53
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,0.6,8.27
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,10.72
