,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2011-12,0.0,1.84
2,2,2,2,2,2,2,2,2,2,2,2,2012-12,-17.66,3.65
3,3,3,3,3,3,3,3,3,3,3,3,2013-12,-14.19,3.97
4,4,4,4,4,4,4,4,4,4,4,4,2014-12,-15.33,4.27
5,5,5,5,5,5,5,5,5,5,5,5,2015-12,-19.33,4.01
6,6,6,6,6,6,6,6,6,6,6,6,2016-12,-15.94,4.73
7,7,7,7,7,7,7,7,7,7,7,7,2017-12,-15.65,7.35
8,8,8,8,8,8,8,8,8,8,8,8,2018-12,-21.09,5.03
9,9,9,9,9,9,9,9,9,9,9,9,2019-12,-33.54,5.02
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,5.02
