,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,9.68
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,2.78,15.98
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,2.04,19.89
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,2.31,13.79
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,3.51,16.68
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,5.62,4.89
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,1.75,8.02
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,2.58,10.5
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,0.99,2.13
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,0.04,13.63
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,11.12
