,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-12,-0.59,5.89
1,1,1,1,1,1,1,1,1,1,1,1,2011-12,-0.21,6.77
2,2,2,2,2,2,2,2,2,2,2,2,2012-12,-4.42,6.24
3,3,3,3,3,3,3,3,3,3,3,3,2013-12,-0.92,6.17
4,4,4,4,4,4,4,4,4,4,4,4,2014-12,-8.08,6.15
5,5,5,5,5,5,5,5,5,5,5,5,2015-12,-0.56,6.12
6,6,6,6,6,6,6,6,6,6,6,6,2016-12,2.54,6.33
7,7,7,7,7,7,7,7,7,7,7,7,2017-12,2.47,6.68
8,8,8,8,8,8,8,8,8,8,8,8,2018-12,2.23,6.2
9,9,9,9,9,9,9,9,9,9,9,9,2019-12,-4.28,6.49
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.49
