,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,2.04,3.79
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.0,6.63
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,0.0,2.98
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,-0.8,2.13
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,-4.57,3.13
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,-6.7,4.03
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,1.35,2.32
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,-1.19,0.74
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,-0.42,16.14
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,-2.4,-2.91
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-7.81
