,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,6.81
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,3.1,8.04
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,-0.28,11.87
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,3.87,9.99
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,2.43,11.11
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,2.34,9.95
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,2.35,9.18
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,4.65,9.08
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,4.89,9.72
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,0.84,14.06
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,11.39
