,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-12,2.52,11.03
1,1,1,1,1,1,1,1,1,1,1,1,2011-12,2.26,10.83
2,2,2,2,2,2,2,2,2,2,2,2,2012-12,1.25,13.48
3,3,3,3,3,3,3,3,3,3,3,3,2013-12,2.62,19.38
4,4,4,4,4,4,4,4,4,4,4,4,2014-12,2.32,20.9
5,5,5,5,5,5,5,5,5,5,5,5,2015-12,4.3,27.86
6,6,6,6,6,6,6,6,6,6,6,6,2016-12,7.11,18.15
7,7,7,7,7,7,7,7,7,7,7,7,2017-12,4.24,17.7
8,8,8,8,8,8,8,8,8,8,8,8,2018-12,3.89,7.63
9,9,9,9,9,9,9,9,9,9,9,9,2019-12,5.29,11.72
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,11.72
