,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,1.53
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,7.45,17.5
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,4.66,17.42
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,3.4,12.18
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,4.25,11.24
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,3.64,10.57
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,2.04,9.96
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,4.63,11.9
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,2.98,8.85
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,1.14,4.78
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.27
