,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,11.23
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,6.6,6.53
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,13.57,6.83
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,21.48,46.62
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,17.87,6.1
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,16.83,6.31
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,10.82,6.83
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,22.65,7.5
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,23.68,7.04
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,23.04,4.28
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,5.87
