,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2011-12,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2012-12,0.0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,2013-12,0.0,0.0
4,4,4,4,4,4,4,4,4,4,4,4,2014-12,0.0,0.0
5,5,5,5,5,5,5,5,5,5,5,5,2015-12,0.0,139.96
6,6,6,6,6,6,6,6,6,6,6,6,2016-12,0.0,179.37
7,7,7,7,7,7,7,7,7,7,7,7,2017-12,-0.16,50.08
8,8,8,8,8,8,8,8,8,8,8,8,2018-12,0.39,264.54
9,9,9,9,9,9,9,9,9,9,9,9,2019-12,0.53,-7.94
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-7.94
