,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-03,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2010-03,0.0,6.67
2,2,2,2,2,2,2,2,2,2,2,2,2011-03,0.0,-1.93
3,3,3,3,3,3,3,3,3,3,3,3,2012-03,0.0,0.82
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,-0.02,13.27
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,0.03,3.84
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,0.86,4.69
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,0.97,3.9
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,-1.51,-4.65
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,0.74,5.89
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,3.29
