,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-06,0,5.13
1,1,1,1,1,1,1,1,1,1,1,1,2011-06,0,7.53
2,2,2,2,2,2,2,2,2,2,2,2,2012-06,0,7.78
3,3,3,3,3,3,3,3,3,3,3,3,2013-06,0,9.46
4,4,4,4,4,4,4,4,4,4,4,4,2014-06,0,10.79
5,5,5,5,5,5,5,5,5,5,5,5,2015-06,0,15.5
6,6,6,6,6,6,6,6,6,6,6,6,2016-06,0,7.58
7,7,7,7,7,7,7,7,7,7,7,7,2017-06,0,14.25
8,8,8,8,8,8,8,8,8,8,8,8,2018-06,0,16.44
9,9,9,9,9,9,9,9,9,9,9,9,2019-06,0,6.59
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0,6.59
