,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,10.13
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,1.59,11.93
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,1.79,13.82
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,2.27,14.0
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,2.37,13.34
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,2.62,13.52
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,2.53,12.97
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,2.74,10.78
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,3.28,12.97
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,3.45,12.89
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,13.26
