,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,11.67
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,9.55,8.15
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,12.73,9.37
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,11.57,7.55
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,16.7,13.48
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,21.09,13.3
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,19.99,11.95
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,17.74,10.39
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,19.17,13.74
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,21.65,5.54
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,-1.99
