,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,0.0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,0.0,-2.25
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,0.01,-1.84
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,0.76,-1.09
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,0.87,0.09
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,1.28,0.69
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,1.48,0.62
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,1.22,1.44
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,2.14
