,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,-31.89
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.11,-10.94
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,0.31,-3.02
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,1.18,5.27
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,1.12,9.06
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,0.42,8.35
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,0.72,16.62
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,1.26,15.35
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,2.47,15.68
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,3.0,14.45
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,9.65
