,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2008-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2009-12,0.0,-4.43
2,2,2,2,2,2,2,2,2,2,2,2,2010-12,0.0,-5.12
3,3,3,3,3,3,3,3,3,3,3,3,2011-12,0.0,4.16
4,4,4,4,4,4,4,4,4,4,4,4,2012-12,-106.09,-15.97
5,5,5,5,5,5,5,5,5,5,5,5,2013-12,-201.68,-17.84
6,6,6,6,6,6,6,6,6,6,6,6,2014-12,-31.82,9.32
7,7,7,7,7,7,7,7,7,7,7,7,2015-12,-17.36,0.0
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,-5.53,-12.26
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,-0.94,8.89
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,5.8
