,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,11.21
1,1,1,1,1,1,1,1,1,1,1,2010-12,-0.45,9.28
2,2,2,2,2,2,2,2,2,2,2,2011-12,-0.7,8.59
3,3,3,3,3,3,3,3,3,3,3,2012-12,0.77,3.96
4,4,4,4,4,4,4,4,4,4,4,2013-12,-0.54,0.56
5,5,5,5,5,5,5,5,5,5,5,2014-12,-0.74,2.66
6,6,6,6,6,6,6,6,6,6,6,2015-12,-1.33,0.75
7,7,7,7,7,7,7,7,7,7,7,2016-12,-2.85,2.79
8,8,8,8,8,8,8,8,8,8,8,2017-12,-4.38,7.6
9,9,9,9,9,9,9,9,9,9,9,2018-12,-3.08,6.58
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,5.09
