,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,5.37
1,1,1,1,1,1,1,1,1,1,2010-12,1.67,6.32
2,2,2,2,2,2,2,2,2,2,2011-12,1.45,6.27
3,3,3,3,3,3,3,3,3,3,2012-12,2.12,8.39
4,4,4,4,4,4,4,4,4,4,2013-12,2.01,6.14
5,5,5,5,5,5,5,5,5,5,2014-12,2.56,7.2
6,6,6,6,6,6,6,6,6,6,2015-12,3.22,4.99
7,7,7,7,7,7,7,7,7,7,2016-12,4.51,5.85
8,8,8,8,8,8,8,8,8,8,2017-12,4.86,7.1
9,9,9,9,9,9,9,9,9,9,2018-12,5.49,6.76
10,10,10,10,10,10,10,10,10,10,TTM,0.0,7.88
