,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,28.25
1,1,1,1,1,1,1,1,1,1,1,2010-12,2.46,22.31
2,2,2,2,2,2,2,2,2,2,2,2011-12,2.23,14.47
3,3,3,3,3,3,3,3,3,3,3,2012-12,1.57,15.03
4,4,4,4,4,4,4,4,4,4,4,2013-12,0.96,13.21
5,5,5,5,5,5,5,5,5,5,5,2014-12,1.92,8.89
6,6,6,6,6,6,6,6,6,6,6,2015-12,0.92,6.82
7,7,7,7,7,7,7,7,7,7,7,2016-12,0.62,3.97
8,8,8,8,8,8,8,8,8,8,8,2017-12,1.31,5.77
9,9,9,9,9,9,9,9,9,9,9,2018-12,1.25,8.49
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,6.98
