,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2009-12,0.0,7.27
1,1,1,1,1,1,1,1,1,1,1,1,2010-12,0.57,8.38
2,2,2,2,2,2,2,2,2,2,2,2,2011-12,1.12,9.99
3,3,3,3,3,3,3,3,3,3,3,3,2012-12,1.11,10.85
4,4,4,4,4,4,4,4,4,4,4,4,2013-12,2.17,12.05
5,5,5,5,5,5,5,5,5,5,5,5,2014-12,2.2,12.46
6,6,6,6,6,6,6,6,6,6,6,6,2015-12,2.29,11.98
7,7,7,7,7,7,7,7,7,7,7,7,2016-12,2.34,11.24
8,8,8,8,8,8,8,8,8,8,8,8,2017-12,2.05,11.53
9,9,9,9,9,9,9,9,9,9,9,9,2018-12,2.75,11.2
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,10.94
