,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,0,2010-12,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2011-12,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2012-12,0.0,10.44
3,3,3,3,3,3,3,3,3,3,3,3,2013-12,0.0,19.88
4,4,4,4,4,4,4,4,4,4,4,4,2014-12,1.2,18.05
5,5,5,5,5,5,5,5,5,5,5,5,2015-12,1.23,17.03
6,6,6,6,6,6,6,6,6,6,6,6,2016-12,2.39,18.75
7,7,7,7,7,7,7,7,7,7,7,7,2017-12,5.85,29.85
8,8,8,8,8,8,8,8,8,8,8,8,2018-12,4.59,15.82
9,9,9,9,9,9,9,9,9,9,9,9,2019-12,11.26,31.36
10,10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,31.36
