,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,0,2010-01,0.0,0.01
1,1,1,1,1,1,1,1,1,1,1,2011-01,2.57,7.79
2,2,2,2,2,2,2,2,2,2,2,2012-01,0.52,6.71
3,3,3,3,3,3,3,3,3,3,3,2013-01,1.83,12.47
4,4,4,4,4,4,4,4,4,4,4,2014-01,0.62,2.86
5,5,5,5,5,5,5,5,5,5,5,2015-01,3.46,2.83
6,6,6,6,6,6,6,6,6,6,6,2016-01,2.9,2.89
7,7,7,7,7,7,7,7,7,7,7,2017-01,1.9,0.95
8,8,8,8,8,8,8,8,8,8,8,2018-01,0.9,1.25
9,9,9,9,9,9,9,9,9,9,9,2019-01,3.08,5.38
10,10,10,10,10,10,10,10,10,10,10,TTM,0.0,2.65
