,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2010-12,2.04,8.2
1,1,1,1,1,1,1,1,1,1,2011-12,3.47,9.03
2,2,2,2,2,2,2,2,2,2,2012-12,3.46,9.42
3,3,3,3,3,3,3,3,3,3,2013-12,4.05,10.24
4,4,4,4,4,4,4,4,4,4,2014-12,4.27,12.73
5,5,5,5,5,5,5,5,5,5,2015-12,5.32,13.17
6,6,6,6,6,6,6,6,6,6,2016-12,7.23,13.66
7,7,7,7,7,7,7,7,7,7,2017-12,3.65,12.31
8,8,8,8,8,8,8,8,8,8,2018-12,4.49,12.93
9,9,9,9,9,9,9,9,9,9,2019-12,6.78,15.85
10,10,10,10,10,10,10,10,10,10,TTM,0.0,15.85
