,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,0,0,0,0,2009-12,0.0,9.02
1,1,1,1,1,1,1,1,1,1,2010-12,0.39,10.8
2,2,2,2,2,2,2,2,2,2,2011-12,-0.36,23.21
3,3,3,3,3,3,3,3,3,3,2012-12,0.4,11.06
4,4,4,4,4,4,4,4,4,4,2013-12,0.9,11.75
5,5,5,5,5,5,5,5,5,5,2014-12,0.86,13.56
6,6,6,6,6,6,6,6,6,6,2015-12,1.44,17.48
7,7,7,7,7,7,7,7,7,7,2016-12,1.65,18.79
8,8,8,8,8,8,8,8,8,8,2017-12,1.4,15.52
9,9,9,9,9,9,9,9,9,9,2018-12,2.19,22.6
10,10,10,10,10,10,10,10,10,10,TTM,0.0,20.81
